text,source,label
" The motorized table adjusts the height, and the low minimum height simplifies  access for patients with mobility issues",KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.pdf,not_important
Successive 1 year,SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,important
2011-02-21 00:00:00,PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,important
"Store List Store # Store Name Address City State Zip Selling Sq Ft 2 Hanover 400 Eisenhower Drive Hanover PA 17331 71,636 4 Lewistown 111 East Market Street Lewistown PA 17044 46,660 5 Martinsburg 800 Foxcroft Avenue Martinsburg WV 25401 65,780 6 Chambersburg 100 Chambersburg Mall Chambersburg PA 17201 55,621 7 Park City Furn 870 Plaza Boulevard Lancaster PA 17601 32,000 8 Park City 600 Park City Center Lancaster PA 17601 178,967 12 Cumberland 1262 Vocke Rd LaVale MD 21502 75,134 14 Galleria 2899 Wh teford Road, Ste 282 York PA 17402 131,915 15 Uniontown 1800 Mall Run Road Uniontown PA 15401 80,511 17 Indiana 2334 Oakland Avenue Suite 35 Indiana PA 15701 60,465 18 Warren 4000 Market Street Warren PA 16365 50,070 19 Wilton 3065 Route 50 Saratoga Springs NY 12866 71,740 21 Oil C ty 6945 US 322 Cranberry PA 16319 45,168 22 Br ck 80 Brick Plaza Brick NJ 08723 53,500 25 Binghamton 601-635 Harry L Dr. Johnson City NY 13790 81,112 27 Williamsport 300 Lycoming Mall Circle Pennsdale PA 17756 60,952 28 Bloomsburg 225 Columbia Mall Drive Bloomsburg PA 17815 46,060 29 Queensgate 2081 Springwood Road York PA 17403 114,608 31 Camp Hill 3525 Gettysburg Road Camp Hill PA 17011 145,200 32 Colonial Park 4600 Jonestown Road Harrisburg PA 17109 136,540 35 Reading 1665 State Hill Road Wyomissing PA 19610 159,368 36 Greensburg 5256 Rt 30 Greensburg PA 15601 100,003 37 Washington 1500 W. Chestnut Street Washington PA 15301 78,129 38 Midway 1066 Wyoming Avenue Wyoming PA 18644 66,026 39 Wilkes-Barre 14 Wyoming Valley Mall Wilkes-Barre PA 18702 159,454 43 Newburgh 1401 Route 300 Ste 139 Newburgh NY 12550 61,785 44 Ithaca 40 Catherwood Road Ithaca NY 14850 62,225 46 Jamestown 318 E. Fairmount Avenue Lakewood NY 14750 59,860 48 Westfield 443 E. Main Street Westfield MA 01085 74,939 62 Eastern Hills 4545 Transit Road Williamsville NY 14221 151,208 63 Sheridan 1706 Sheridan Drive Buffalo NY 14223 124,284 64 Southgate 1090 Union Road West Seneca NY 14224 100,500 65 McKinley 3701 McKinley Parkway Blasdell NY 14219 97,204 67 Lockport 5737 S. Transit Road Lockport NY 14094 82,000 68 Olean 402 N. Union Street Olean NY 14760 73,017 69 Niagara 6929 Williams Road Niagara Falls NY 14303 88,128 72 Bethlehem 2524 Schoenersville Road Bethlehem PA 18017 108,650 73 S. Allentown 3300 Lehigh Street Allentown PA 18103 101,841 76 Easton 146 Palmer Park Mall Easton PA 18045 115,062 78 Quakertown 751 SW End Blvd. Quakertown PA 18951 88,126 81 Doylestown 456 North Main Street Doylestown PA 18901 61,915 84 Elmira 3300 Chambers Road South, Ste. 50 Horseheads NY 14845 74,752 94 Camillus 5301 W. Genesee Street Camillus NY 13031 64,700 101 Dayton Mall 2700 St. Rt. 725 Dayton OH 45459 212,000 107 Huber Heights 8221 Old Troy Pike Huber Heights OH 45424 101,840 115 Beavercreek 2727 Fairfield Commons Beavercreek OH 45431 151,740 117 Piqua 987 E. Ash Street Piqua OH 45356 60,000 118 Athens 1004 E. State Street Athens OH 45701 42,253 119 New Philadelphia 400 Mill Avenue, Ste. C3 New Philadelphia OH 44663 73,310 121 Kettering 2050 E. Dorothy Lane Dayton OH 45420 87,317 125 Lancaster 1730 River Valley Circle S. Lancaster OH 43130 52,725 126 Heath 771 S. 30th Street Newark OH 43056 73,185 128 Zanesville 3575 Maple Avenue Zanesville OH 43701 70,847 129 Marion 1475 Marion Waldo Road Marion OH 43302 75,673 130 Chillicothe 1080 N. Br dge Street Chillicothe OH 45601 55,940 132 Richmond 601 East Main St. R chmond IN 47374 100,000 137 Sandusky 4314 Milan Road Sandusky OH 44870 80,398",BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.pdf,not_important
"Bank of America, N.A. (""Bank of America""); Supplier (""Supplier"")",CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.pdf,important
"

         Franchisee  agrees that in consideration of the grant of the ""Successor Franchise""  (defined in Section 5",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.pdf,not_important
"During the first twelve (12) months of the Term, Wildform will provide On2, via phone and email during Wildform's normal business hours, reasonable support for the website front end deliverables. The foregoing obligations of Wildform, shall be limited to a maximum of forty (40) hours, or up to a maximum of two hundred twenty (220) emails, whichever accumulates first.","ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT.pdf",not_important
2021-03-18 00:00:00,PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement.pdf,important
"This Agreement and all disputes arising out of or related to this Agreement or any breach hereof are governed by and construed under the Laws of the State of New York, without giving effect to any choice of law principles that would require the application of the Laws of a different state.",SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.pdf,important
"  Composition:       Predominantly Ethane, Propane,       Butanes & Natural Gasoline     ASTM D-2163   (C5 Plus)       Methane   1",RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement.pdf,not_important
